date,general,sales_inquiry,gate_code,account_balance,billing,account_changes,customer_support,physical_issue,wants_human,spam,other,ignore,total
2026-03-12,0,6,12,1,7,14,14,12,10,0,3,0,79
2026-03-13,0,8,7,1,9,4,13,3,0,0,1,0,46
2026-03-14,0,5,1,0,2,3,5,2,2,0,0,0,20
2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,0,3,0,0,0,4,11,1,1,0,3,0,23
2026-03-17,0,6,1,0,1,4,3,0,1,0,0,0,16
2026-03-18,0,9,2,1,4,6,5,1,2,0,3,0,33
2026-03-19,0,6,1,0,6,7,5,8,1,0,5,0,39
2026-03-20,0,2,6,1,2,5,2,1,0,0,1,0,20
2026-03-21,0,6,1,0,0,1,4,3,1,0,1,0,17
2026-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,0,7,1,0,5,3,7,0,1,0,0,0,24
2026-03-24,0,2,0,1,6,6,2,2,0,0,2,0,21
2026-03-25,0,3,0,0,3,5,1,2,0,0,1,0,15
2026-03-26,0,6,1,0,9,10,4,0,3,0,0,0,33
2026-03-27,0,4,3,0,10,11,6,4,1,0,0,0,39
2026-03-28,1,4,6,0,0,1,3,7,1,0,0,0,23
2026-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,1,10,4,0,4,24,12,4,5,0,2,0,66
2026-03-31,0,13,9,3,5,14,16,8,7,0,2,0,77
2026-04-01,0,14,3,1,10,9,13,9,7,0,0,0,66
2026-04-02,1,12,5,0,12,8,5,5,4,0,1,0,53
2026-04-03,0,2,4,0,5,7,5,3,0,0,1,0,27
2026-04-04,0,2,4,0,0,5,10,2,0,0,1,0,24
2026-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-06,0,1,2,0,1,2,4,4,0,0,0,0,14
2026-04-07,0,8,5,1,8,7,3,1,3,0,4,0,40
2026-04-08,0,3,2,1,5,5,3,3,2,0,2,0,26
2026-04-09,0,9,1,0,2,8,4,1,1,0,1,0,27
2026-04-10,0,0,5,0,2,2,3,0,2,0,0,0,14
2026-04-11,0,8,2,1,1,5,4,0,2,0,0,0,23
2026-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13,0,10,3,2,4,2,5,2,7,0,2,0,37
2026-04-14,0,8,1,1,4,8,4,5,1,0,1,0,33
2026-04-15,0,4,4,0,5,10,2,3,0,0,0,0,28
2026-04-16,0,8,2,0,0,7,3,0,1,0,1,0,22
2026-04-17,0,4,0,0,3,5,2,3,5,0,0,0,22
2026-04-18,0,0,1,0,0,1,0,0,0,0,0,0,2
2026-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,0,1,0,0,2,2,4,2,0,0,0,0,11
2026-04-21,1,4,2,1,2,0,4,0,4,0,0,0,18
2026-04-22,0,3,2,0,6,2,4,1,1,0,1,0,20
2026-04-23,0,1,0,0,3,2,6,2,1,0,2,0,17
2026-04-24,0,4,3,0,6,3,5,4,1,0,0,0,26
2026-04-25,0,6,2,1,6,4,2,4,2,0,1,0,28
2026-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27,0,2,2,0,5,2,0,5,2,0,0,0,18
2026-04-28,0,16,10,0,9,16,20,2,11,0,3,0,87
2026-04-29,0,13,3,0,6,11,6,8,12,0,4,0,63
2026-04-30,0,11,5,1,3,11,2,2,13,0,2,0,50
2026-05-01,1,0,3,0,5,5,3,9,6,0,0,0,32
2026-05-02,0,1,0,0,6,4,4,3,3,0,0,0,21
2026-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-04,0,6,2,1,5,11,7,1,4,0,0,0,37
2026-05-05,0,5,2,0,1,12,3,0,1,0,0,0,24
2026-05-06,0,6,2,0,0,10,9,0,2,0,2,0,31
2026-05-07,0,3,2,0,12,3,6,1,4,0,1,0,32
2026-05-08,0,4,1,0,4,7,2,0,0,0,0,0,18
2026-05-09,0,2,5,0,0,8,5,0,0,0,0,0,20
2026-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,0,3,12,2,9,23,9,7,4,0,2,0,71
